Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,47.9
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,50.4
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,52.6
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,50.8
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,M,,PT,2019-2020,48.4
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,53.8
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,49.7
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,47.4
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,45.0
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,44.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,46.8
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,48.3
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,53.3
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,55.2
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,56.5
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH20,,,PT,2019-2020,53.2
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,60.8
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,58.7
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,52.7
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,52.9
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,52.9
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,57.5
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,57.6
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,61.8
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,65.7
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,65.0
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,F,,PT,2019-2020,60.3
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,69.4
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,66.2
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,58.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,56.3
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,55.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,57.1
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,54.0
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,55.5
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,57.8
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,55.7
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,M,,PT,2019-2020,50.0
2009,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,65.3
2010,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,62.5
2011,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,55.9
2012,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,54.7
2013,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,54.1
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,57.3
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,55.7
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,58.5
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,61.5
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,60.1
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH21,,,PT,2019-2020,54.9
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,F,,PT,2019-2020,34.8
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,F,,PT,2019-2020,35.3
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,F,,PT,2019-2020,41.8
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,F,,PT,2019-2020,45.4
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,F,,PT,2019-2020,45.5
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,F,,PT,2019-2020,47.2
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,M,,PT,2019-2020,30.3
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,M,,PT,2019-2020,29.7
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,M,,PT,2019-2020,31.2
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,M,,PT,2019-2020,33.8
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,M,,PT,2019-2020,35.2
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,M,,PT,2019-2020,34.6
2014,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,,,PT,2019-2020,32.5
2015,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,,,PT,2019-2020,32.4
2016,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,,,PT,2019-2020,36.3
2017,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,,,PT,2019-2020,39.4
2018,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,,,PT,2019-2020,40.1
2019,A,0,C,MoEYS_Education Statistics & Indicators,A,N,N_KH_04010102_01,KH25,,,PT,2019-2020,40.6
